16679,1576561280,"Заказ 11799716 , должны были привезти 15, вечером 16 числа приходит смс что доставка 18, говорят ""мы незнали что у транспортной компании проблемы, тоесть весь понедельник вы не знали что заказ который должен был прийти в воскресенье не пришёл?
Далее, заказ 11799715 , должен был прийти в понедельник, приходит СМС что придёт в четверг. Я в субботу заказал стол для работы, сейчас сижу как незнаю кто, работаю за журнальным столом, если бы три дня не потерял на ожидание непонятно чего - заказал бы в другом месте и получил бы уже.

И третье - то мне говорят по телефону что ТК ещё не забрала со склада, позже звоню - оператор говорит что в ТК отгрузили, вы вообще почему врёте? Это уже перебор."
16675,1576556167,"Заказ 10624368. По моей информации, он вернулся на склад Беру 09.12. Когда я получу свои деньги за возвращенный товар?"
16897,1576833475,"Платёж не проходит с трех разных карт. При этом списали 500 бонусов за регистрацию. МОЛОДЦЫ! И вам той же участи, что и Брингли."
error,error,error
16746,1576603998,Здравствуйте можно выкупить часть заказа?
16741,1576591803,ждите ответа в следующей серии...
16611,1576488195,"Жду заказ почти неделю...., всё ещё ждуу 🙄"
16606,1576485284,"спасибо за отзывы. прежде чем оплатить заказ, решила прочитать отзывы... ну, в общем, борьба за свой же товар мне не нужна."
16603,1576484334,Почему заказ 11164035 все ещё весит в статусе ждите курьера. Я его уже получила.
16566,1576429385,"Будут ли они? Yeelight 650, а то все размером меньше"
16437,1576250788,Добрый вечер ! Коллега не дождалась заказа Отпишитесь где опять посылка с курьером зависла.
16416,1576246068,5 минут назад были скидки до 90%на смартфоны
16407,1576242116,"Как можно вернуть деньги с заказа сразу после отмены? 
Ваше скотское отношение поражает. 2 недели мурыжили с доставкой корма для животных, теперь я ещё и должна ждать возврата денег 10 дней. 
Вы, говорит, закажите по новой. Ага, ещё две недели ждать. Ещё и по предоплате. 
Вы в своём уме вообще?"
16399,1576239613,"А смысл, если вы не работаете по-человечески?"
16317,1576152905,Заказала корм для своей котобанды 8.12. Сегодня 12.12 получила все в лучшем виде..спасибо.г.Екатеринбург
16252,1576078989,"Интересное новшество в личном кабинете. Теперь после отправки товара можно посмотреть какой транспортной компанией отправлено и телефоны для связи.Еще хотелось бы при заказе товаров видеть срок годности, это актуально для продуктов и корма для животных. Пришел просроченный товар."
16204,1576054274,"Доставка работает хорошо, как и обещали привезли точно в срок! Упаковано замечательно) 😉Сбер ❤️"
16123,1575973824,сегодня сделала заказ оплата при получении.должен прийти 16-17 декабря .посмотрю как работает беру))
error,error,error
15955,1575840151,Добрый день . Когда я уже смогу получить свой заказ 11189099. Прошла неделя.
15936,1575828136,"Когда я создал заказы 10905949, 10905950, 10905951, у меня в личном кабинете появился купон на скидку 15% на корм для животных Hill's. Заказы пришли, я оплатил, но купон пропал. Прошу восстановить."
15935,1575828073,"Очень плохая работа сервиса Беру.ру. Заказы 10905949 и 10905950 были созданы 26.11.2019 с доставкой 01.12.2019. Он не был доставлен. Перенесли на 03.12.2019 не привезли. Все эти дни я сидел ждал заказ и терял время. Потом выясняется, что не понятно кто, назначил доставку заказа 10905949 на 05.12.2019. Я в это время не мог принять заказ. Итог - заказы получены 08.12.2019. Потрачена уйма времени на ожидание. Я сам выяснял вопросы с транспортными компаниями. Это сервис очень низкого качества, к сожалению. Такия яркие названия: Яндекс и Сбербанк и такое низкое качество. Это 4-ый заказ который не доставлен вовремя."
15916,1575817198,Плохой сайт
15881,1575781359,
15800,1575651774,"Хуже сбербанка, может быть только  смесь сбера и яндекса"
15613,1575474392,"Ну у вас и сленг... Тут открыли... Ждём заказ уже 2 сутки, прям видим как вы бежите с ним по футбольным полям и красной площади... 😂"
15604,1575470657,"хотел сделать заказ, накидал товаров в корзину, и тут мне выдает, что товары распиханы на трех разных складах, отправятся тремя посылками и оплатить доставку каждого соответственно придется...ладно, так еще и доставку почтой до меня обрубили, только самовывоз, а это по косарю за каждую посылку...придется экономить сходив в магазин под боком - реально дешевле выйдет и без ожидания ))"
15346,1575208180,"Здравствуйте! Получила сегодня заказ номер 11121454 и в нем совершенно другая пена для бритья. Конечно принцип действия один, но она с травами, мне это не нужно. В прошлый раз заказывала такую же пену и она полностью соответствовала изображению на Беру. Высылаю фото для сравнения."
15319,1575155588,"Хотел сделать заказ,но прочитав отзывы теперь не рискну."
15303,1575141121,Сделал заказ ножей Samura доставка на 29-30 ноября с 10 до 22. заказ не доставлен . Ни звонка от курьера не чего😡
